Flow,t0,t0_iso,dt0,pa,da,v,dv,minv,maxv,halo
0030,2024/07/30 06:00,2024-07-30T06_00_00.000000000,01,274,006,0250,0034,0225,0312,
0029,2024/07/29 09:24,2024-07-29T09_24_00.000000000,02,210,018,0289,0127,0120,0578,
0028,2024/07/29 06:00,2024-07-29T06_00_00.000000000,00,035,008,0178,0000,0178,0178,
0027,2024/07/29 02:36,2024-07-29T02_36_00.000000000,01,215,008,0129,0008,0124,0145,
0026,2024/07/29 01:25,2024-07-29T01_25_00.000000000,01,205,020,0388,0110,0290,0664,
0025,2024/07/28 22:12,2024-07-28T22_12_00.000000000,02,329,080,0244,0037,0152,0312,
0024,2024/07/28 17:24,2024-07-28T17_24_00.000000000,01,306,018,0311,0031,0271,0351,
0023,2024/07/28 16:24,2024-07-28T16_24_00.000000000,01,210,022,0180,0143,0157,0558,
0022,2024/07/28 10:24,2024-07-28T10_24_00.000000000,01,196,006,0198,0101,0116,0367,
0021,2024/07/28 10:12,2024-07-28T10_12_00.000000000,01,027,012,0119,0010,0112,0143,
0020,2024/07/28 07:36,2024-07-28T07_36_00.000000000,01,301,012,0151,0038,0142,0218,
0019,2024/07/27 15:24,2024-07-27T15_24_00.000000000,01,061,008,0180,0036,0148,0248,
0018,2024/07/27 13:48,2024-07-27T13_48_00.000000000,01,064,006,0334,0240,0300,0811,
0017,2024/07/27 07:00,2024-07-27T07_00_00.000000000,00,044,006,0269,0021,0238,0294,
0016,2024/07/25 09:48,2024-07-25T09_48_00.000000000,01,221,016,0206,0016,0188,0228,
0015,2024/07/25 04:36,2024-07-25T04_36_00.000000000,00,085,008,0492,0024,0452,0516,
0014,2024/07/22 23:42,2024-07-22T23_42_00.000000000,00,155,016,0437,0456,0288,1250,
0013,2024/07/22 06:48,2024-07-22T06_48_00.000000000,00,087,012,0254,0077,0109,0332,
0012,2024/07/21 21:36,2024-07-21T21_36_00.000000000,01,084,006,0149,0011,0145,0171,
0011,2024/07/21 09:12,2024-07-21T09_12_00.000000000,01,283,024,0224,0061,0209,0395,
0010,2024/07/19 15:18,2024-07-19T15_18_00.000000000,00,085,012,0166,0022,0143,0206,
0009,2024/07/17 23:12,2024-07-17T23_12_00.000000000,01,131,012,0290,0714,0212,1953,
0008,2024/07/17 20:12,2024-07-17T20_12_00.000000000,01,162,010,0349,0073,0201,0422,
0007,2024/07/15 23:48,2024-07-15T23_48_00.000000000,01,237,012,0104,0003,0101,0112,
0006,2024/07/15 12:12,2024-07-15T12_12_00.000000000,02,280,006,0137,0039,0113,0206,
0005,2024/07/14 03:36,2024-07-14T03_36_00.000000000,01,195,020,0209,0004,0200,0213,
0004,2024/07/10 15:16,2024-07-10T15_16_00.000000000,01,056,014,0131,0013,0105,0139,
0003,2024/07/07 18:00,2024-07-07T18_00_00.000000000,00,281,008,0270,0016,0254,0292,
0002,2024/07/05 21:24,2024-07-05T21_24_00.000000000,01,309,012,0105,0013,0102,0130,
0001,2024/07/04 18:54,2024-07-04T18_54_00.000000000,01,253,008,0218,0022,0193,0256,
0029,2024/08/28 10:42,2024-08-28T10_42_00.000000000,01,320,046,0118,0004,0112,0124,
0028,2024/08/28 08:48,2024-08-28T08_48_00.000000000,01,084,006,0380,0000,0380,0380,
0027,2024/08/28 08:24,2024-08-28T08_24_00.000000000,00,071,008,0302,0094,0195,0416,
0026,2024/08/26 09:12,2024-08-26T09_12_00.000000000,01,154,010,0185,0023,0140,0205,
0025,2024/08/25 12:00,2024-08-25T12_00_00.000000000,02,131,008,0145,0038,0111,0205,
0024,2024/08/25 07:48,2024-08-25T07_48_00.000000000,02,013,012,0228,0016,0195,0242,
0023,2024/08/24 22:12,2024-08-24T22_12_00.000000000,02,025,012,0140,0000,0140,0140,
0022,2024/08/23 04:28,2024-08-23T04_28_00.000000000,01,342,010,0242,0034,0220,0300,
0021,2024/08/22 17:48,2024-08-22T17_48_00.000000000,01,079,016,0273,0189,0187,0710,
